Task: 3, Test Name: Correct Old Price Is Displayed, Browser Edge, Viewport 1200*700, Device Laptop, Status: True
Task: 3, Test Name: Correct Discount Is Displayed, Browser Edge, Viewport 1200*700, Device Laptop, Status: True
Task: 3, Test Name: Is Add To Cart Button Present ?, Browser Edge, Viewport 1200*700, Device Laptop, Status: True
Task: 3, Test Name: Navigation To Default Page, Browser Edge, Viewport 768*700, Device Tablet, Status: True
Task: 3, Test Name: Verify Image Is Displayed, Browser Edge, Viewport 768*700, Device Tablet, Status: True
Task: 3, Test Name: Is Product Rating Present ?, Browser Edge, Viewport 768*700, Device Tablet, Status: True
Task: 3, Test Name: Is Product Description Present ?, Browser Edge, Viewport 768*700, Device Tablet, Status: True
Task: 3, Test Name: Is Size Selection Dropdown Present ?, Browser Edge, Viewport 768*700, Device Tablet, Status: True
Task: 3, Test Name: Is Quantity Selection Dropdown Present ?, Browser Edge, Viewport 768*700, Device Tablet, Status: True
Task: 3, Test Name: Correct New Price Is Displayed, Browser Edge, Viewport 768*700, Device Tablet, Status: True
Task: 3, Test Name: Correct Old Price Is Displayed, Browser Edge, Viewport 768*700, Device Tablet, Status: True
Task: 3, Test Name: Correct Discount Is Displayed, Browser Edge, Viewport 768*700, Device Tablet, Status: True
Task: 3, Test Name: Is Add To Cart Button Present ?, Browser Edge, Viewport 768*700, Device Tablet, Status: True
